TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ENMA3B;50,49;9,15;9,81;2,66;1,09;31,76;22,48;16,76;7,32;;1,03;0,37;1,64;9,12;-1,77;1,45;27,07;11,06;17,33;0,41;0,59;0,66;8,44;19,88;;19,00;5,14;0,35;
ENMA6B;83,99;5,50;16,33;4,42;1,81;31,76;22,48;16,76;12,17;;1,03;0,37;2,74;15,17;-2,94;1,45;27,07;11,06;17,33;0,41;0,59;0,66;8,44;19,88;;19,00;5,14;0,57;
ENMT3;79,90;6,87;15,16;6,27;1,58;28,44;24,08;16,82;10,59;13,00;2,37;1,40;2,55;31,36;-2,18;1,23;41,39;10,45;19,48;0,25;0,75;0,62;7,41;91,13;131.839,89;12,73;5,27;0,15;17.565.167.008,60
ENMT4;80,40;6,12;15,25;6,31;1,59;28,44;24,08;16,82;10,65;13,00;2,37;1,40;2,57;31,56;-2,20;1,23;41,39;10,45;19,48;0,25;0,75;0,62;7,41;91,13;63.833,42;12,73;5,27;0,15;17.565.167.008,60
EPAR3;15,00;;4,22;3,10;1,01;15,66;8,30;6,03;3,06;3,18;0,11;0,12;0,25;3,65;-3,13;1,69;73,44;23,89;52,61;0,33;0,67;3,96;5,92;-3,83;52.423,88;4,84;3,56;0,01;222.908.520,00
EQPA3;5,34;11,42;12,55;3,27;0,92;29,07;20,30;12,63;7,81;9,22;1,39;0,58;1,59;5,76;-1,67;1,56;26,05;7,35;15,02;0,28;0,72;0,58;7,01;12,56;41.664,31;1,63;0,43;0,33;11.819.345.868,70
EQPA5;7,08;8,62;16,64;4,34;1,22;29,07;20,30;12,63;10,36;9,22;1,39;0,58;2,10;7,64;-2,21;1,56;26,05;7,35;15,02;0,28;0,72;0,58;7,01;12,56;45.358,13;1,63;0,43;0,43;11.819.345.868,70
EQPA6;10,48;5,82;24,63;6,42;1,81;29,07;20,30;12,63;15,33;9,22;1,39;0,58;3,11;11,31;-3,27;1,56;26,05;7,35;15,02;0,28;0,72;0,58;7,01;12,56;;1,63;0,43;0,64;11.819.345.868,70
EQPA7;7,00;8,71;16,45;4,29;1,21;29,07;20,30;12,63;10,24;9,22;1,39;0,58;2,08;7,55;-2,18;1,56;26,05;7,35;15,02;0,28;0,72;0,58;7,01;12,56;3.591,83;1,63;0,43;0,43;11.819.345.868,70
EQTL3;23,15;3,11;6,37;1,96;0,42;29,91;22,98;16,57;4,59;7,00;2,41;1,03;1,05;3,12;-0,65;1,61;30,77;6,61;13,50;0,21;0,75;0,40;19,79;35,37;180.156.541,17;11,82;3,64;0,23;23.393.991.392,75
ESPA3;9,51;1,50;8,85;3,31;1,20;55,09;35,02;34,35;8,68;10,42;1,74;0,66;3,04;54,14;-1,97;1,06;37,39;13,51;14,07;0,36;0,64;0,39;;;26.899.086,92;2,87;1,07;-0,01;2.322.680.232,66
ESTR3;17,80;;-0,74;-0,03;0,05;47,71;8,51;-10,91;0,95;8,28;5,56;;0,08;-0,03;-0,12;0,23;-3,83;-7,04;-3,59;-1,84;2,84;0,65;-3,90;;;-625,30;-23,93;0,04;40.999.512,00
ESTR4;67,18;;-2,81;-0,11;0,20;47,71;8,51;-10,91;3,60;8,28;5,56;;0,31;-0,11;-0,44;0,23;-3,83;-7,04;-3,59;-1,84;2,84;0,65;-3,90;;13.062,40;-625,30;-23,93;0,16;40.999.512,00
ETER3;15,41;;2,82;1,76;0,97;44,64;38,21;31,71;2,34;1,80;-0,54;-0,41;0,90;1,83;-3,53;3,81;62,32;34,51;56,29;0,55;0,45;1,09;-6,86;62,86;19.610.379,33;8,76;5,46;0,00;951.977.020,75
EUCA3;14,50;2,57;4,18;0,75;0,43;34,42;19,51;14,15;3,04;3,11;0,85;0,21;0,59;3,13;-0,70;1,54;18,00;10,20;12,16;0,57;0,43;0,72;9,47;98,14;123.531,25;19,25;3,47;0,02;999.354.498,40
EUCA4;8,90;4,60;2,57;0,46;0,26;34,42;19,51;14,15;1,86;3,11;0,85;0,21;0,36;1,92;-0,43;1,54;18,00;10,20;12,16;0,57;0,43;0,72;9,47;98,14;940.911,06;19,25;3,47;0,01;999.354.498,40
